ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category1Description,category2Description,options
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.AbstractClassPublicConstructor,Constructors of an `abstract` class should not be declared `public`,Constructors of `abstract` classes can only be called in constructors of their subclasses. Therefore the visibility of `public` constructors are reduced to `protected`.,1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID,Add `@Serial` annotation to `serialVersionUID`,Annotate any `serialVersionUID` fields with `@Serial` to indicate it's part of the serialization mechanism.,1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.AddSerialVersionUidToSerializable,Add `serialVersionUID` to a `Serializable` class when missing,"A `serialVersionUID` field is strongly recommended in all `Serializable` classes. If this is not defined on a `Serializable` class, the compiler will generate this value. If a change is later made to the class, the generated value will change and attempts to deserialize the class will fail.",1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,"[{""name"":""uid"",""type"":""String"",""displayName"":""New serial version UID"",""description"":""Value of the added serial version UID."",""example"":""42L""}]"
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.AnnotateNullableMethods,Annotate methods which may return `null` with `@Nullable`,"Add `@Nullable` to non-private methods that may return `null`. By default `org.jspecify.annotations.Nullable` is used, but through the `nullableAnnotationClass` option a custom annotation can be provided. When providing a custom `nullableAnnotationClass` that annotation should be meta annotated with `@Target(TYPE_USE)`. This recipe scans for methods that do not already have a `@Nullable` annotation and checks their return statements for potential null values. It also identifies known methods from standard libraries that may return null, such as methods from `Map`, `Queue`, `Deque`, `NavigableSet`, and `Spliterator`. The return of streams, or lambdas are not taken into account.",1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,"[{""name"":""nullableAnnotationClass"",""type"":""String"",""displayName"":""`@Nullable` annotation class"",""description"":""The fully qualified name of the @Nullable annotation. The annotation should be meta annotated with `@Target(TYPE_USE)`. Defaults to `org.jspecify.annotations.Nullable`"",""example"":""org.jspecify.annotations.Nullable""}]"
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.AnnotateNullableParameters,Annotate null-checked method parameters with `@Nullable`,"Add `@Nullable` to parameters of public methods that are explicitly checked for `null`. By default `org.jspecify.annotations.Nullable` is used, but through the `nullableAnnotationClass` option a custom annotation can be provided. When providing a custom `nullableAnnotationClass` that annotation should be meta annotated with `@Target(TYPE_USE)`. This recipe scans for methods that do not already have parameters annotated with `@Nullable` annotation and checks their usages for potential null checks. Additional null-checking methods can be specified via the `additionalNullCheckingMethods` option.",1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,"[{""name"":""nullableAnnotationClass"",""type"":""String"",""displayName"":""`@Nullable` annotation class"",""description"":""The fully qualified name of the @Nullable annotation. The annotation should be meta annotated with `@Target(TYPE_USE)`. Defaults to `org.jspecify.annotations.Nullable`"",""example"":""org.jspecify.annotations.Nullable""},{""name"":""additionalNullCheckingMethods"",""type"":""List"",""displayName"":""Additional null-checking methods"",""description"":""A list of method patterns (in OpenRewrite MethodMatcher format) that should be considered as null-checking methods. These will be added to the built-in list of known null-checking methods. Use `..` for any parameters, e.g., `com.mycompany.utils.StringUtil isEmpty(..)` or `com.mycompany.utils.CollectionUtil isNullOrEmpty(java.util.Collection)`"",""example"":""com.mycompany.utils.StringUtil isEmpty(..), com.mycompany.utils.CollectionUtil isNullOrEmpty(..)""}]"
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.AnnotateRequiredParameters,Annotate required method parameters with `@NonNull`,"Add `@NonNull` to parameters of public methods that are explicitly checked for `null` and throw an exception if null. By default `org.jspecify.annotations.NonNull` is used, but through the `nonNullAnnotationClass` option a custom annotation can be provided. When providing a custom `nonNullAnnotationClass` that annotation should be meta annotated with `@Target(TYPE_USE)`. This recipe scans for methods that do not already have parameters annotated with `@NonNull` annotation and checks for null validation patterns that throw exceptions, such as `if (param == null) throw new IllegalArgumentException()`.",1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,"[{""name"":""nonNullAnnotationClass"",""type"":""String"",""displayName"":""`@NonNull` annotation class"",""description"":""The fully qualified name of the @NonNull annotation. The annotation should be meta annotated with `@Target(TYPE_USE)`. Defaults to `org.jspecify.annotations.NonNull`"",""example"":""org.jspecify.annotations.NonNull""}]"
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.AtomicPrimitiveEqualsUsesGet,"Atomic Boolean, Integer, and Long equality checks compare their values","`AtomicBoolean#equals(Object)`, `AtomicInteger#equals(Object)` and `AtomicLong#equals(Object)` are only equal to their instance. This recipe converts `a.equals(b)` to `a.get() == b.get()`.",1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.AvoidBoxedBooleanExpressions,Avoid boxed boolean expressions,"Under certain conditions the `java.lang.Boolean` type is used as an expression, and it may throw a `NullPointerException` if the value is null.",1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.BigDecimalDoubleConstructorRecipe,`new BigDecimal(double)` should not be used,"Use of `new BigDecimal(double)` constructor can lead to loss of precision. Use `BigDecimal.valueOf(double)` instead.
For example writing `new BigDecimal(0.1)` does not create a `BigDecimal` which is exactly equal to `0.1`, but it is equal to `0.1000000000000000055511151231257827021181583404541015625`. This is because `0.1` cannot be represented exactly as a double (or, for that matter, as a binary fraction of any finite length).",1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,
maven,org.openrewrite.recipe:rewrite-static-analysis,org.openrewrite.staticanalysis.BigDecimalRoundingConstantsToEnums,`BigDecimal` rounding constants to `RoundingMode` enums,Convert `BigDecimal` rounding constants to the equivalent `RoundingMode` enum.,1,,Static analysis and remediation,,Remediations for issues identified by SAST tools.,
